Method,Metric,Unit,Median,Min,Max,Repeats,T_total_includes_certification,Component_times_may_overlap,Accounting_note
block_jacobi,T_apply,seconds,0.000363333333333332,0.000346416666666666,0.00168945833333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_solve,seconds,0.000323374999999999,0.000313624999999999,0.00352749999999999,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_apply_solve,seconds,0.000676958333333331,0.000669791666666665,0.00521695833333332,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_eig,seconds,0.018121625,0.0172914583333333,0.0533359583333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
block_jacobi,T_certify,seconds,0.00045825,0.000404125,0.000663458333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_total,seconds,0.0745671666666667,0.067411,0.218690541666667,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_setup,seconds,0.000579041666666667,0.000467916666666667,0.010982,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_update,seconds,0.0457573333333333,0.0447637083333333,0.068934625,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_setup_update,seconds,0.04622525,0.04534275,0.079916625,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_apply,seconds,0.00028925,0.000164458333333333,0.000766958333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_solve,seconds,0.004875125,0.00472433333333333,0.00708370833333334,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_apply_solve,seconds,0.005164375,0.00488879166666666,0.00785066666666667,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_eig,seconds,0.023403875,0.019548375,0.129181708333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
ic,T_certify,seconds,0.000429583333333333,0.000409208333333333,0.000522083333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_total,seconds,0.022778375,0.0211905833333333,0.0378475,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_setup,seconds,0.000400625,0.00039775,0.000473958333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_update,seconds,0,0,0,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_setup_update,seconds,0.000400625,0.00039775,0.000473958333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_apply,seconds,0.000520166666666663,0.000397874999999998,0.000841541666666672,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_solve,seconds,0.000900333333333328,0.000835708333333328,0.0022555,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_apply_solve,seconds,0.00142049999999999,0.00123358333333333,0.00309704166666667,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_eig,seconds,0.0201249583333333,0.0196193333333333,0.031697625,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
frozen_spectral,T_certify,seconds,0.000419666666666667,0.000390541666666667,0.000433458333333333,3,0,1,Component times are diagnostic counters and may overlap when preconditioner applications/solves occur inside eigenspace computations. Initial metric spectral work and setup inside frame computations also overlap; BJ dense matrix setup contains forward applications. BJ setup_depth excludes nested local block setup from its setup aggregate. Do not sum components to obtain T_total.
